Quantity view,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,EthanolFermPlant,SodiumChloride,NitrogenFertiliser,AmmoniumNitrate,AmmoniumSulfate,Urea,Water,NeutralisingAgent,SodiumHydroxide,1-Butanol,SteamGrid,WasteTreatment,CHPPlant,ElectricityGrid,Sugar,Ammonia,Urea,Wastewater,ElectricityBiomass,SteamBiomass,Combustor,WasteTreatment2,Transport
Quantities,Quantities,Quantities,Quantities,Quantities,0,,,,,,,,,,,,,,,,,0,,,,,0
,Ecoinvent,Ecoinvent,Ecoinvent,Ecoinvent,0,,,,,,,,,,,,,,,,,0,,,,,0
,Economic quantities,Economic quantities,Economic quantities,Economic quantities,0,,,,,,,,,,,,,,,,,,,,,,0
,Environmental quantities,Environmental quantities,Environmental quantities,Environmental quantities,0,,,,,,,,,,,,,,,,,,,,,,0
,,"AADP, TU Berlin","AADP, TU Berlin","AADP, TU Berlin",,,,,,,,,,,,,,,,,,,,,,,0
,,CML 2001 - Jan. 2016,CML 2001 - Jan. 2016,CML 2001 - Jan. 2016,,,,,,,,,,,,,,,,,,,,,,,
,,Earlier versions of methods,Earlier versions of methods,Earlier versions of methods,,,,,,,,,,,,,,,,,,,,,,,
,,EDIP 2003,EDIP 2003,EDIP 2003,,,,,,,,,,,,,,,,,,,,,,,
,,EF 1.8,EF 1.8,EF 1.8,,,,,,,,,,,,,,,,,,,,,,,
,,EPD EN 15804,EPD EN 15804,EPD EN 15804,,,,,,,,,,,,,,,,,,,,,,,
,,EPS 2015d - Incl impacts from secondary particles,EPS 2015d - Incl impacts from secondary particles,EPS 2015d - Incl impacts from secondary particles,,,,,,,,,,,,,,,,,,,,,,,
,,EPS 2015dx - Excl impacts from secondary particles,EPS 2015dx - Excl impacts from secondary particles,EPS 2015dx - Excl impacts from secondary particles,,,,,,,,,,,,,,,,,,,,,,,
,,Impact 2002+,Impact 2002+,Impact 2002+,,,,,,,,,,,,,,,,,,,,,,,
,,Impacts ILCD/PEF recommendation v1.09,Impacts ILCD/PEF recommendation v1.09,Impacts ILCD/PEF recommendation v1.09,,,,,,,,,,,,,,,,,,,,,,,
,,IPCC AR5,IPCC AR5,IPCC AR5,,,,,,,,,,,,,,,,,,,,,,,
,,Land use LANCA v2.3 2016,Land use LANCA v2.3 2016,Land use LANCA v2.3 2016,,,,,,,,,,,,,,,,,,,,,,,
,,NF EN 15804 Quantities,NF EN 15804 Quantities,NF EN 15804 Quantities,,,,,,,,,,,,,,,,,,,,,,,
,,Odour,Odour,Odour,,,,,,,,,,,,,,,,,,,,,,,
,,Primary energy,Primary energy,Primary energy,,,,,,,,,,,,,,,,,,,,,,,
,,ReCiPe 2016 v1.1,ReCiPe 2016 v1.1,ReCiPe 2016 v1.1,,,,,,,,,,,,,,,,,,,,,,,
,,,ReCiPe 2016 v1.1 (E),ReCiPe 2016 v1.1 (E),,,,,,,,,,,,,,,,,,,,,,,
,,,,Climate Change Incl Land Use Change (LUC),,,,,,,,,,,,,,,,,,,,,,,
,,,,Endpoint (E),,,,,,,,,,,,,,,,,,,,,,,
,,,,"ReCiPe 2016 v1.1 Midpoint (E) - Climate change, default, excl biogenic carbon [kg CO2 eq.]",6.96E+06,0.264,5.98,4.47,1.66,3.12,1.33E-05,1.16,1.23,2.55,0.0969,0.0269,0.000299,0.142,0.155,1.99,3.12,22.8,0.0435,0.00205,0.00447,0.508,0.128
,,,,"ReCiPe 2016 v1.1 Midpoint (E) - Climate change, incl biogenic carbon [kg CO2 eq.]",7.01E+06,0.262,5.93,4.45,1.66,3.11,1.44E-05,1.16,1.23,2.56,0.0967,0.543,0.0723,0.163,-0.527,1.98,3.11,22.8,0.0804,0.00379,0.132,1.26,0.128
,,,,ReCiPe 2016 v1.1 Midpoint (E) - Fine Particulate Matter Formation [kg PM2.5 eq.],1.86E+04,0.000755216,0.011163379,8.71E-03,4.01E-03,7.27E-03,2.67E-08,3.55E-03,3.80E-03,5.08E-03,1.42E-04,6.04E-05,1.44E-05,3.50E-04,2.81E-03,0.00338,0.00727,0.0363,0.000365229,1.72E-05,3.23E-05,7.27E-05,0.000197
,,,,ReCiPe 2016 v1.1 Midpoint (E) - Fossil depletion [kg oil eq.],1.32E+06,0.079154888,1.417292432,1.28E+00,5.22E-01,1.32E+00,3.43E-06,3.56E-01,3.85E-01,1.77E+00,2.87E-02,5.67E-03,5.61E-05,4.77E-02,7.22E-02,0.876,1.32,2.85,0.014203606,0.000669453,0.00133,0.00703,0.0473
,,,,ReCiPe 2016 v1.1 Midpoint (E) - Freshwater Consumption [m3],6.83E+04,0.004333104,0.09766753,7.84E-02,6.73E-03,1.86E-01,1.79E-03,3.86E-02,4.06E-02,1.12E-01,1.57E-04,5.70E-04,2.47E-06,2.53E-02,1.40E-01,0.0577,0.186,-0.787,0.000187581,8.84E-06,3.59E-05,0.00115,0.000396
,,,,"ReCiPe 2016 v1.1 Midpoint (E) - Freshwater ecotoxicity [kg 1,4 DB eq.]",1.63E+05,0.004877251,0.051019709,2.64E-02,1.99E-02,1.90E-02,2.58E-07,1.36E-02,1.46E-02,1.63E-02,2.41E-04,2.84E-03,3.19E-05,3.93E-03,5.94E-03,0.00773,0.019,0.265,0.000919034,4.33E-05,0.000197,0.163,0.00124
