Quantity view,,,,,,,,,,,,
,,,,,AdipicAcid_RoW,Nylon66_RoW,HMDA_DE,HMDA_Glo,Nylon6_RoW,SebacicAcid_BestCaseCN,SebacicAcid_WorstCaseCN,SebacicAcid_average
Quantities,Quantities,Quantities,Quantities,Quantities,0,0,,,,,,
,Ecoinvent,Ecoinvent,Ecoinvent,Ecoinvent,0,0,,,,,,
,Economic quantities,Economic quantities,Economic quantities,Economic quantities,0,,,,,,,
,Environmental quantities,Environmental quantities,Environmental quantities,Environmental quantities,0,,,,,,,
,,"AADP, TU Berlin","AADP, TU Berlin","AADP, TU Berlin",0,,,,,,,
,,CML 2001 - Jan. 2016,CML 2001 - Jan. 2016,CML 2001 - Jan. 2016,,,,,,,,
,,Earlier versions of methods,Earlier versions of methods,Earlier versions of methods,,,,,,,,
,,EDIP 2003,EDIP 2003,EDIP 2003,,,,,,,,
,,EF 1.8,EF 1.8,EF 1.8,,,,,,,,
,,EPD EN 15804,EPD EN 15804,EPD EN 15804,,,,,,,,
,,EPS 2015d - Incl impacts from secondary particles,EPS 2015d - Incl impacts from secondary particles,EPS 2015d - Incl impacts from secondary particles,,,,,,,,
,,EPS 2015dx - Excl impacts from secondary particles,EPS 2015dx - Excl impacts from secondary particles,EPS 2015dx - Excl impacts from secondary particles,,,,,,,,
,,Impact 2002+,Impact 2002+,Impact 2002+,,,,,,,,
,,Impacts ILCD/PEF recommendation v1.09,Impacts ILCD/PEF recommendation v1.09,Impacts ILCD/PEF recommendation v1.09,,,,,,,,
,,IPCC AR5,IPCC AR5,IPCC AR5,,,,,,,,
,,Land use LANCA v2.3 2016,Land use LANCA v2.3 2016,Land use LANCA v2.3 2016,,,,,,,,
,,NF EN 15804 Quantities,NF EN 15804 Quantities,NF EN 15804 Quantities,,,,,,,,
,,Odour,Odour,Odour,,,,,,,,
,,Primary energy,Primary energy,Primary energy,,,,,,,,
,,ReCiPe 2016 v1.1,ReCiPe 2016 v1.1,ReCiPe 2016 v1.1,,,,,,,,
,,,ReCiPe 2016 v1.1 (E),ReCiPe 2016 v1.1 (E),,,,,,,,
,,,ReCiPe 2016 v1.1 (H),ReCiPe 2016 v1.1 (H),,,,,,,,
,,,ReCiPe 2016 v1.1 (I),ReCiPe 2016 v1.1 (I),,,,,,,,
,,,,Climate Change Incl Land Use Change (LUC),,,,,,,,
,,,,Endpoint (I),,,,,,,,
,,,,"ReCiPe 2016 v1.1 Midpoint (I) - Climate change, default, excl biogenic carbon [kg CO2 eq.]",25.3,11,16.7,7.440867143,11.81360696,1.657864072,4.297868049,2.977866061
,,,,"ReCiPe 2016 v1.1 Midpoint (I) - Climate change, incl biogenic carbon [kg CO2 eq.]",25.3,11,16.72579865,7.455063295,11.82361356,1.657864072,4.297868049,2.977866061
,,,,ReCiPe 2016 v1.1 Midpoint (I) - Fine Particulate Matter Formation [kg PM2.5 eq.],0.00524,0.000543144,0.00013842,0.001588475,0.000750007,0.001081606,0.001798784,0.001440195
