Par,Value,Min,Max,SD,Dist,Units,Notes,ParameterType
AnnualTime,7900,7900,7900,0,none,hr,none,ProcessModel
DownTime,12,6,24,0,Tri,hr,none,ProcessModel
FermenterMass,500000,450000,550000,0,Tri,kg,none,ProcessModel
SolventLossRate,0.01,0.005,0.02,0,Tri,none,none,ProcessModel
BiomasstoHeat,14.32,7.16,14.32,0,Tri,MJ/kg,none,ProcessModel
SolventReq,0.1,0.05,0.2,0,none,none,none,ProcessModel
TimeSpan,30,30,30,0,Tri,yr,none,ProcessModel
BaseFermSize,10,10,10,0,none,none,none,ProcessModel
DistEff,0.238,0.119,0.476,0,Tri,none,none,ProcessModel
Dist1DeltaT,95,95,95,0,none,K,none,ProcessModel
Dist2DeltaTCadaverine,60,60,60,0,none,K,none,ProcessModel
Dist2DeltaTPutrescine,40,40,40,0,none,K,none,ProcessModel
WaterContentBiomass,1.5,1.5,1.5,0,none,none,What you have to multiple biomass by to get water amount,ProcessModel
BiomassPerMJCombustor,0.0654,0.0654,0.0654,0,none,none,Fixed,ProcessModel
PlasticThermal,6.6,6.6,13.2,0,Tri,MJ/kg,none,ProcessModel
PlasticElectricity,2.7,2.7,5.4,0,Tri,MJ/kg,none,ProcessModel
PlasticTransport,0.2,0.1,0.4,0,Tri,tkm/kg,none,ProcessModel
WaterContentWaste,0.3,0.3,0.3,0,none,none,what you have to multiply waste by to get water amound,ProcessModel
WaterContentCake,1.5,1.5,1.5,0,none,none,What you have to multiple cake by to get water amount,ProcessModel
NaOHCorrection,1,0.9,1.3,0,Unif,none,Correction for NaOH,ProcessModel
Aeration,2.5,2.5,2.5,0,none,kwh/m3,none,ProcessModel
Agitation,0.5,0.1,12,0,Tri,kwh/m3,none,ProcessModel
AgitationAeration,3,1,5,0,Tri,kwh/m3,none,ProcessModel
CentrifugeEcoli,7,3.5,16,0,Tri,kwh/m3,none,ProcessModel
CentrifugeYeast,1.5,0.7,2.6,0,Tri,kwh/m3,none,ProcessModel
Diafiltration,5,5,5,0,none,kwh/m3,none,ProcessModel
DryingSteam,1.5,0.95,1.67,0,Tri,kg/kg,none,ProcessModel
EvaporationMultiStage,0.1,0.01,1.25,0,Tri,kg/kg,none,ProcessModel
EvaporationSingleStage,1.2,0.005,1.4,0,Tri,kg/kg,none,ProcessModel
EvaporationTripleEffect,0.4,0.3,0.5,0,Tri,kg/kg,none,ProcessModel
KgtoMJSteam,2.1,2.1,2.1,0,none,MJ/kg,none,ProcessModel
Microfiltration,2,1.2,2.6,0,Tri,kwh/m3,none,ProcessModel
Nanofiltration,7,1,7,0,Tri,kwh/m3,none,ProcessModel
RefluxFactor,1.3,1.3,1.3,0,none,none,none,ProcessModel
ReverseOsmosis,9,2.5,10,0,Tri,kwh/m3,none,ProcessModel
SteamMJperKg,2.1,2.1,2.1,0,none,MJ/kg,none,ProcessModel
Sterilisation,0.1,0.1,0.1,0,Tri,kg/kg,none,ProcessModel
Ultrafiltration,5,3.5,16,0,Tri,kwh/m3,none,ProcessModel
ButanolMr,74.121,74.121,74.121,0,none,none,none,MolecularProperties
ButanolVap,41.9,41.9,41.9,0,none,none,none,MolecularProperties
CadaverineMr,102.178,102.178,102.178,0,none,none,none,MolecularProperties
CadaverineVap,41.5,41.5,41.5,0,none,none,none,MolecularProperties
HydroquinoneMr,110.11,110.11,110.11,0,none,none,none,MolecularProperties
HydroquinoneVap,70.5,70.5,70.5,0,none,none,none,MolecularProperties
PutrescineMr,88.15,88.15,88.15,0,none,none,none,MolecularProperties
PutrescineVap,39.6,39.6,39.6,0,none,none,none,MolecularProperties
WaterMr,18.015,18.015,18.015,0,none,none,none,MolecularProperties
WaterVap,43.99,43.99,43.99,0,none,none,none,MolecularProperties
ButanolSensHeat,0.00259,0.00259,0.00259,0,none,none,none,MolecularProperties
ButanolVapHeat,0.241,0.241,0.241,0,none,none,none,MolecularProperties
CadaverineSensHeat,0.00219,0.00219,0.00219,0,none,none,none,MolecularProperties
CadaverineVapHeat,0.406,0.406,0.406,0,none,none,none,MolecularProperties
PutrescineSensHeat,0.00219,0.00219,0.00219,0,none,none,none,MolecularProperties
PutrescineVapHeat,0.449,0.449,0.449,0,none,none,none,MolecularProperties
AmmoniumNitrogen,0.778,0.778,0.778,0,none,none,none,MolecularProperties
NitrogenCorrectionAmmoniumSulfate,1,1,1,0,none,none,none,MolecularProperties
NitrogenCorrectionAmmoniumNitrate,1,1,1,0,none,none,none,MolecularProperties
NitrogenCorrectionCornSteepLiqour,0.08,0.08,0.08,0,none,none,none,MolecularProperties
NitrogenCorrectionAmmonia,0.82,0.82,0.82,0,none,none,none,MolecularProperties
NitrogenCorrectionUrea,1,1,1,0,none,none,none,MolecularProperties
CSLWater,0.5,0.5,0.5,0,none,none,none,MolecularProperties
NonNitrogenRatioAmmoniumSulfate,3.76,3.76,3.76,0,none,none,none,MolecularProperties
NonNitrogenRatioAmmoniumNitrate,1.94,1.94,1.94,0,none,none,none,MolecularProperties
NonNitrogenRatioCornSteepLiqour,5.25,5.25,5.25,0,none,none,none,MolecularProperties
NonNitrogenRatioAmmonia,0.22,0.22,0.22,0,none,none,none,MolecularProperties
NonNitrogenRatioUrea,1.17,1.17,1.17,0,none,none,none,MolecularProperties
EmbodiedCarbonCadaverine,2.14,2.14,2.14,0,none,none,none,MolecularProperties
EmbodiedCarbonPutrescine,2,2,2,0,none,none,none,MolecularProperties
AdipicAcidMr,146.142,146.142,146.142,0,none,none,none,MolecularProperties
HMDAMr,116.21,116.21,116.21,0,none,none,none,MolecularProperties
SebacicAcidMr,202.25,202.25,202.25,0,none,none,none,MolecularProperties
Nylon6Mr,1,1,1,0,none,none,none,MolecularProperties
NRELCornStover,104167,104167,104167,0,none,kg,none,NRELModel
NRELSulfuricAcid,2240,2240,2240,0,none,kg,none,NRELModel
NRELNaOH,1417,1417,1417,0,none,kg,none,NRELModel
NRELAmmonia,682,682,682,0,none,kg,none,NRELModel
NRELGlucose,1209,1209,1209,0,none,kg,none,NRELModel
NRELCornSteepLiqour,82,82,82,0,none,kg,none,NRELModel
NRELCornOil,7,7,7,0,none,kg,none,NRELModel
NRELWater,198770,198770,198770,0,none,kg,none,NRELModel
NRELLime,151,151,151,0,none,kg,none,NRELModel
NRELSO2,8,8,8,0,none,kg,none,NRELModel
NRELHostNutrients,34,34,34,0,none,kg,none,NRELModel
NRELSugarGen,47036,47036,47036,0,none,kg,none,NRELModel
NRELAsh,4459,4459,4459,0,none,kg,none,NRELModel
NRELElecGen,14058,14058,14058,0,none,kWh,none,NRELModel
NRELGlucoseProp,0.64412697,0.64412697,0.64412697,0,none,none,none,NRELModel
NRELXyloseProp,0.35587303,0.35587303,0.35587303,0,none,none,none,NRELModel
NRELSugarDilution,1.086956522,1.086956522,1.086956522,0,none,none,none,NRELModel
NRELEmitCO2,74741,74741,74741,0,none,kg,none,NRELModel
NRELEmitCH4,1.6,1.6,1.6,0,none,kg,none,NRELModel
NRELEmitNO2,53,53,53,0,none,kg,none,NRELModel
NRELEmitCO,53,53,53,0,none,kg,none,NRELModel
NRELEmitSO2,11,11,11,0,none,kg,none,NRELModel
Tax,0.01,0.007,0.03,0,Unif,none,none,Economic
Maintenance,0.025,0.03,0.06,0,Unif,none,none,Economic
RDMarketing,0.06,0.03,0.12,0,Tri,none,none,Economic
overheads,0.6,0.6,0.9,0,Unif,none,none,Economic
discountRate,0.1,0.1,0.24,0,Unif,none,none,Economic
interestRate,0.08,0.04,0.16,0,Tri,none,none,Economic
incomeTax,0.35,0.35,0.35,0,none,none,none,Economic
LabourScaling,0.25,0.25,0.25,0,none,none,none,Economic
CapitalScaling,0.836,0.836,0.836,0,none,none,none,Economic
RepaymentPeriod,10,10,10,0,Tri,years,none,Economic
Sugar,0.374166667,0.2,0.65,0,Tri,dollars,none,Price
Nitrogen,0.148899988,0.092476821,0.210352546,0,Tri,dollars,none,Price
Water,0.00053,0.000329165,0.000748736,0,Tri,dollars,none,Price
Electricity,0.071,0.0639,0.071,0,Tri,dollars,none,Price
Steam,0.0044,0.001506329,0.006450436,0,Tri,dollars,none,Price
Wastewater,0.00053,0.000265,0.00106,0,Tri,dollars,none,Price
Waste,0.036,0.018,0.072,0,Tri,dollars,none,Price
BioethanolPlant,370.2808618,185.1404309,740.5617236,0,Tri,million dollars,none,Price
Labour,2.22,1.11,4.44,0,Tri,million dollars,none,Price
NaOH,0.198096309,0.142670324,0.222614901,0,Tri,dollars,none,Price
CSL,0.075276818,0.054214882,0.08459391,0,Tri,dollars,none,Price
Butanol,1.558,0.96762188,2.201002636,0,Tri,dollars,none,Price
Salt,0.060627105,0.037653474,0.085648535,0,Tri,dollars,none,Price
AmmoniumNitrate,0.617294157,0.444579496,0.693697317,0,Tri,dollars,none,Price
AmmoniumSulfate,0.58753176,0.423144413,0.660251196,0,Tri,dollars,none,Price
Ammonia,0.938066657,0.675602055,1.054172173,0,Tri,dollars,none,Price
Urea,0.629419578,0.453312307,0.707323514,0,Tri,dollars,none,Price
AdipicAcidWE,1.818813142,1.129604231,2.569456046,0,Tri,dollars,none,Price
AdipicAcidUS,2.094393199,0.717010372,3.07039775,0,Tri,dollars,none,Price
DAP,0.47625,0.2676,1.20063,0,Tri,dollars,none,Price
LignoSugar,0.405650893,0.202825447,0.811301787,0,Tri,dollars,none,Price
