type,name
flow,geogs
flow,DSPs
flow,Switch
flow,OrgSpeed
flow,MaxYield
flow,WasteScenario
flow,energySource
flow,NitrogenSource
process,DownTime
process,FermenterMass
process,AgitationAeration
process,CentrifugeEcoli
process,DryingSteam
process,EvaporationTripleEffect
price,Sugar
price,Nitrogen
price,Salt
price,Water
price,NaOH
price,Butanol
price,Electricity
price,Steam
price,Waste
price,BioethanolPlant
price,Labour
econ,Tax
econ,Maintenance
econ,RDMarketing
econ,times
econ,overheads
econ,discountRate
