"AllDetails","Unit","Name","Input_output_parameter","Fast-90%-12hourswitch","Fast-90%-6hourswitch","Fast-90%-0hourswitch","Fast-75%-12hourswitch","Fast-75%-6hourswitch","Fast-75%-0hourswitch","Fast-50%-12hourswitch","Fast-50%-6hourswitch","Fast-50%-0hourswitch","Medium-90%-12hourswitch","Medium-90%-6hourswitch","Medium-90%-0hourswitch","Medium-75%-12hourswitch","Medium-75%-6hourswitch","Medium-75%-0hourswitch","Medium-50%-12hourswitch","Medium-50%-6hourswitch","Medium-50%-0hourswitch"
"GeneralFermentation_Run_TimeParameter","General","Fermentation Run Time","Parameter",65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1,65.1
"GeneralNumber_of_fermentersParameter","General","Number of fermenters","Parameter",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"BioreactorFeedstockInput","Bioreactor","Feedstock","Input",4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08,4.21e+08
"BioreactorNitrogenInput","Bioreactor","Nitrogen","Input",58600000,58600000,58600000,58600000,58600000,58600000,58600000,58600000,58600000,58600000,58600000,58600000,58600000,58600000,58600000,58600000,58600000,58600000
"BioreactorSaltsInput","Bioreactor","Salts","Input",2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000
"BioreactorWaterInput","Bioreactor","Water","Input",7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08,7.19e+08
"BioreactorAir_(N2/O2)Input","Bioreactor","Air (N2/O2)","Input",1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09,1.23e+09
"CentrifugeWaterInput","Centrifuge","Water","Input",66900000,66900000,66900000,66900000,66900000,66900000,66900000,66900000,66900000,66900000,66900000,66900000,66900000,66900000,66900000,66900000,66900000,66900000
"pH_adjustmentNaOHInput","pH adjustment","NaOH","Input",95900000,95900000,95900000,95900000,95900000,95900000,95900000,95900000,95900000,95900000,95900000,95900000,95900000,95900000,95900000,95900000,95900000,95900000
"ExtracterSolventInput","Extracter","Solvent","Input",697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000
"BioreactorCO2Output","Bioreactor","CO2","Output",2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08
"BioreactorAirOutput","Bioreactor","Air","Output",1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09,1.16e+09
"DryingWater_vaporOutput","Drying","Water vapor","Output",4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07
"DryingBiomass_Output","Drying","Biomass ","Output",19100000,19100000,19100000,19100000,19100000,19100000,19100000,19100000,19100000,19100000,19100000,19100000,19100000,19100000,19100000,19100000,19100000,19100000
"Distillation_step_2ProductOutput","Distillation step 2","Product","Output",1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08
"EvaporatorCakeOutput","Evaporator","Cake","Output",1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08
"EvaporatorWater_vaporOutput","Evaporator","Water vapor","Output",3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08
"EvaporatorWaterOutput","Evaporator","Water","Output",4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08,4.54e+08
"Distillation_step_2Heavy_OrganicsOutput","Distillation step 2","Heavy Organics","Output",18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000,18900000
