"AllDetails","Unit","Name","Input_output_parameter","Fast-90%-12hourswitch","Fast-90%-6hourswitch","Fast-90%-0hourswitch","Fast-75%-12hourswitch","Fast-75%-6hourswitch","Fast-75%-0hourswitch","Fast-50%-12hourswitch","Fast-50%-6hourswitch","Fast-50%-0hourswitch","Medium-90%-12hourswitch","Medium-90%-6hourswitch","Medium-90%-0hourswitch","Medium-75%-12hourswitch","Medium-75%-6hourswitch","Medium-75%-0hourswitch","Medium-50%-12hourswitch","Medium-50%-6hourswitch","Medium-50%-0hourswitch"
"GeneralFermentation_Run_TimeParameter","General","Fermentation Run Time","Parameter",56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1
"GeneralNumber_of_fermentersParameter","General","Number of fermenters","Parameter",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"BioreactorFeedstockInput","Bioreactor","Feedstock","Input",3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08,3.86e+08
"BioreactorNitrogenInput","Bioreactor","Nitrogen","Input",50700000,50700000,50700000,50700000,50700000,50700000,50700000,50700000,50700000,50700000,50700000,50700000,50700000,50700000,50700000,50700000,50700000,50700000
"BioreactorSaltsInput","Bioreactor","Salts","Input",2250000,2250000,2250000,2250000,2250000,2250000,2250000,2250000,2250000,2250000,2250000,2250000,2250000,2250000,2250000,2250000,2250000,2250000
"BioreactorWaterInput","Bioreactor","Water","Input",6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08
"BioreactorAir_(N2/O2)Input","Bioreactor","Air (N2/O2)","Input",1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09,1.59e+09
"CentrifugeWaterInput","Centrifuge","Water","Input",76500000,76500000,76500000,76500000,76500000,76500000,76500000,76500000,76500000,76500000,76500000,76500000,76500000,76500000,76500000,76500000,76500000,76500000
"pH_adjustmentNaOHInput","pH adjustment","NaOH","Input",80800000,80800000,80800000,80800000,80800000,80800000,80800000,80800000,80800000,80800000,80800000,80800000,80800000,80800000,80800000,80800000,80800000,80800000
"ExtracterSolventInput","Extracter","Solvent","Input",697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000
"BioreactorCO2Output","Bioreactor","CO2","Output",2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08
"BioreactorAirOutput","Bioreactor","Air","Output",1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09,1.51e+09
"DryingWater_vaporOutput","Drying","Water vapor","Output",5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07
"DryingBiomass_Output","Drying","Biomass ","Output",19300000,19300000,19300000,19300000,19300000,19300000,19300000,19300000,19300000,19300000,19300000,19300000,19300000,19300000,19300000,19300000,19300000,19300000
"Distillation_step_2ProductOutput","Distillation step 2","Product","Output",1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08
"EvaporatorCakeOutput","Evaporator","Cake","Output",1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08,1.26e+08
"EvaporatorWater_vaporOutput","Evaporator","Water vapor","Output",2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.82e+08
"EvaporatorWaterOutput","Evaporator","Water","Output",5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08,5.27e+08
"Distillation_step_2Heavy_OrganicsOutput","Distillation step 2","Heavy Organics","Output",12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000,12300000
